datetime,open,close,high,low,volume
2012-02-23 15:00:00,8.3,8.18,8.35,8.12,2598530.0
2012-02-24 15:00:00,8.18,8.2,8.28,8.13,1969748.0
2012-02-27 15:00:00,8.28,8.16,8.28,8.14,2472656.0
2012-02-28 15:00:00,8.1,7.98,8.16,7.8,3042796.0
2012-02-29 15:00:00,7.97,7.9,8.09,7.84,1195550.0
2012-03-01 15:00:00,7.88,7.94,8.02,7.82,944144.0
2012-03-02 15:00:00,8.02,8.05,8.07,7.96,1588455.0
2012-03-05 15:00:00,8.1,8.12,8.26,8.0,1941120.0
2012-03-06 15:00:00,8.1,8.06,8.26,8.0,1776386.0
2012-03-07 15:00:00,7.9,7.74,7.94,7.67,2297859.0
2012-03-08 15:00:00,7.76,7.84,7.88,7.7,1575470.0
2012-03-09 15:00:00,7.84,7.82,7.86,7.73,1777115.0
2012-03-12 15:00:00,7.78,7.84,7.88,7.74,1798462.0
2012-03-13 15:00:00,7.82,8.0,8.02,7.76,1928332.0
2012-03-14 15:00:00,8.04,7.6,8.07,7.6,2922231.0
2012-03-15 15:00:00,7.52,7.25,7.58,7.22,3010471.0
2012-03-16 15:00:00,7.3,7.36,7.37,7.16,1345343.0
2012-03-19 15:00:00,7.33,7.5,7.52,7.28,1786379.0
2012-03-20 15:00:00,7.52,7.56,7.82,7.42,2349963.0
2012-03-21 15:00:00,7.58,7.72,7.79,7.46,2615227.0
2012-03-22 15:00:00,7.73,7.48,7.75,7.43,1740247.0
2012-03-23 15:00:00,7.48,7.79,7.85,7.29,4406364.0
2012-03-26 15:00:00,7.81,8.06,8.18,7.7,5200781.0
2012-03-27 15:00:00,8.02,7.85,8.15,7.79,3214342.0
2012-03-28 15:00:00,7.71,7.46,7.83,7.46,2170605.0
2012-03-29 15:00:00,7.39,7.09,7.39,7.09,1704969.0
2012-03-30 15:00:00,6.88,6.75,7.12,6.74,2783999.0
2012-04-05 15:00:00,6.75,7.03,7.09,6.75,1200901.0
2012-04-06 15:00:00,7.0,7.09,7.21,7.0,1075948.0
2012-04-09 15:00:00,7.09,7.02,7.18,6.99,958696.0
2012-04-10 15:00:00,7.0,7.24,7.25,6.75,1175834.0
2012-04-11 15:00:00,7.08,7.16,7.22,7.06,1109903.0
2012-04-12 15:00:00,7.21,7.27,7.35,7.16,1335204.0
2012-04-13 15:00:00,7.39,7.27,7.39,7.21,1326088.0
2012-04-16 15:00:00,7.22,7.39,7.56,7.17,1223052.0
2012-04-17 15:00:00,7.4,7.23,7.46,7.15,1047529.0
2012-04-18 15:00:00,7.23,7.34,7.37,7.2,1114376.0
2012-04-19 15:00:00,7.38,7.34,7.38,7.25,1246084.0
2012-04-20 15:00:00,7.3,7.33,7.4,7.27,1217216.0
2012-04-23 15:00:00,7.29,7.04,7.29,6.96,2566357.0
2012-04-24 15:00:00,6.89,6.77,6.97,6.69,1612974.0
2012-04-25 15:00:00,6.79,6.91,6.94,6.65,1201856.0
2012-04-27 15:00:00,6.58,6.56,6.69,6.56,1580000.0
2012-05-02 15:00:00,6.23,6.23,6.23,6.23,603600.0
2012-05-03 15:00:00,5.92,5.92,5.92,5.92,445900.0
2012-05-04 15:00:00,5.75,5.96,6.22,5.63,3587363.0
2012-05-07 15:00:00,5.9,6.2,6.21,5.83,2596252.0
2012-05-08 15:00:00,6.2,6.24,6.38,6.17,2100567.0
2012-05-09 15:00:00,6.2,6.29,6.39,6.2,2123717.0
2012-05-10 15:00:00,6.3,6.29,6.38,6.21,1313676.0
2012-05-11 15:00:00,6.29,6.34,6.42,6.28,1572969.0
2012-05-14 15:00:00,6.35,6.41,6.66,6.35,4605339.0
2012-05-15 15:00:00,6.38,6.54,6.65,6.38,2567288.0
2012-05-16 15:00:00,6.54,6.77,6.81,6.44,2977494.0
2012-05-17 15:00:00,6.73,6.69,6.8,6.56,2049048.0
2012-05-21 15:00:00,6.61,6.37,6.61,6.36,2667884.0
2012-05-22 15:00:00,6.41,6.42,6.46,6.23,1066337.0
2012-05-23 15:00:00,6.36,6.25,6.44,6.24,1426537.0
2012-05-24 15:00:00,6.26,6.01,6.3,5.98,2492810.0
2012-05-25 15:00:00,5.93,6.06,6.08,5.93,1036995.0
2012-05-28 15:00:00,6.05,5.97,6.05,5.76,1761318.0
2012-05-29 15:00:00,5.9,6.15,6.18,5.9,1724004.0
2012-05-30 15:00:00,6.17,6.13,6.21,6.09,1849385.0
2012-05-31 15:00:00,6.1,6.16,6.18,6.03,1218971.0
2012-06-01 15:00:00,6.17,6.18,6.22,6.13,1135148.0
2012-06-04 15:00:00,6.08,5.9,6.14,5.9,990800.0
